Scheme Name,AMC Name,Fund Type,Category,Sub Category,Risk Level,Fund Rating,Return 1Y (%),Return 3Y (%),Return 5Y (%),Expense Ratio (%),NAV (₹),AUM (Cr),Fund Age (Years),Min SIP (₹),Min Lumpsum (₹),Fund Manager,Investment Strategy
Baroda BNP Paribas Flexi Cap Multi Cap Scheme - Direct Plan - IDCW,Baroda BNP Paribas Mutual Fund,Equity,Multi Cap,Flexi Cap,Moderate,2,13.3,9.65,9.6,1.5,352.38,3170.45,24.1,1000,1000,Roshi Jain,Value
UTI Corporate Bond Medium Duration Scheme - Direct Plan - Growth,UTI Mutual Fund,Debt,Medium Duration,Corporate Bond,Low to Moderate,2,7.53,6.09,4.7,0.36,734.51,471.68,4.5,1000,5000,Manish Gunwani,Blend
Quant Gold Fund of Funds Fund - Regular Plan - Growth,Quant Mutual Fund,Other,Fund of Funds,Gold,High,4,5.54,10.58,11.0,1.35,587.92,2539.41,20.9,5000,5000,Divam Sharma,Passive
Edelweiss Equity Arbitrage Arbitrage Plan - Regular Plan - IDCW,Edelweiss Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,1,4.83,,2.21,0.99,755.69,5547.88,1.7,5000,500,Sailesh Raj Bhan,Value
Franklin Templeton Balanced Advantage Aggressive Hybrid Plan - Direct Plan - IDCW,Franklin Templeton Mutual Fund,Hybrid,Aggressive Hybrid,Balanced Advantage,Moderately High,4,15.77,20.88,21.56,1.68,34.89,216.68,27.8,500,25000,Rajeev Thakkar,Growth
Kotak Mahindra Domestic Fund of Funds Scheme - Direct Plan - Growth,Kotak Mahindra Mutual Fund,Other,Fund of Funds,Domestic,Moderately High,5,18.64,19.05,22.67,1.31,260.73,5322.66,25.0,500,5000,Jinesh Gopani,Value
L&T Discovery Mid Cap Plan - Regular Plan - Growth,L&T Mutual Fund,Equity,Mid Cap,Discovery,Moderately High,5,20.59,24.91,,0.52,559.46,7212.96,2.4,1000,5000,Divam Sharma,Active
ICICI Prudential Dividend Yield Thematic Plan - Direct Plan - Growth,ICICI Prudential Mutual Fund,Equity,Thematic,Dividend Yield,Moderately High,3,24.22,19.57,17.76,1.53,709.69,286.6,18.7,2500,10000,Roshi Jain,Blend
Edelweiss Micro Cap Small Cap Scheme - Regular Plan - Growth,Edelweiss Mutual Fund,Equity,Small Cap,Micro Cap,High,1,11.9,5.98,,1.99,426.92,504.75,14.7,5000,1000,Nimesh Chandan,Active
Edelweiss High Yield Credit Risk Plan - Regular Plan - Growth,Edelweiss Mutual Fund,Debt,Credit Risk,High Yield,Moderately High,3,17.99,10.24,12.92,0.92,341.71,9081.74,22.3,100,5000,Chandraprakash Padiyar,Income
Kotak Mahindra Growth Mid Cap Scheme - Regular Plan - Growth,Kotak Mahindra Mutual Fund,Equity,Mid Cap,Growth,High,4,10.43,12.76,10.63,0.87,193.02,1041.04,11.8,500,25000,Harsha Upadhyaya,Growth
Kotak Mahindra Corporate Credit Risk Plan - Regular Plan - Growth,Kotak Mahindra Mutual Fund,Debt,Credit Risk,Corporate,Moderate,3,13.51,6.31,9.17,0.59,338.72,1558.26,26.4,5000,1000,Swarup Mohanty,Growth
Quant Gift Children's Fund Fund - Regular Plan - IDCW,Quant Mutual Fund,Solution Oriented,Children's Fund,Gift,Moderate,4,13.95,12.14,8.81,1.49,191.48,1407.65,18.4,2500,5000,Divam Sharma,GARP
Quant Dynamic Bond Long Duration Plan - Direct Plan - IDCW,Quant Mutual Fund,Debt,Long Duration,Dynamic Bond,Moderately High,3,0.2,5.38,2.58,0.47,625.43,2295.43,10.8,500,5000,Taher Badshah,Blend
Invesco Dividend Yield Thematic Plan - Direct Plan - IDCW,Invesco Mutual Fund,Equity,Thematic,Dividend Yield,Moderately High,4,37.31,31.17,35.45,2.19,145.73,9235.0,21.0,1000,1000,Manish Gunwani,Index
JM Financial Bluechip Large Cap Fund - Regular Plan - Growth,JM Financial Mutual Fund,Equity,Large Cap,Bluechip,Moderately High,3,19.91,24.32,21.56,1.11,477.61,465.86,17.6,100,10000,Divam Sharma,Passive
SBI Emerging Small Cap Plan - Direct Plan - IDCW,SBI Mutual Fund,Equity,Small Cap,Emerging,High,3,36.35,40.1,36.4,2.01,764.88,1683.78,19.8,1000,1000,Chirag Setalvad,Index
SBI 10Y Gilt Long Duration Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Long Duration,10Y Gilt,Moderate,3,3.06,4.52,3.25,0.53,580.95,1811.09,15.1,1000,5000,Mahesh Patil,Active
HDFC Emerging Small Cap Scheme - Direct Plan - Growth,HDFC Mutual Fund,Equity,Small Cap,Emerging,Very High,3,16.74,13.81,9.57,1.95,400.16,48552.39,24.8,5000,10000,Gopal Agrawal,GARP
Tata IT Sectoral Fund - Direct Plan - IDCW,Tata Mutual Fund,Equity,Sectoral,IT,High,3,28.81,27.76,25.43,2.26,639.56,494.57,19.9,5000,5000,Chandraprakash Padiyar,Active
Canara Robeco Balanced Advantage Aggressive Hybrid Plan - Direct Plan - IDCW,Canara Robeco Mutual Fund,Hybrid,Aggressive Hybrid,Balanced Advantage,Moderately High,3,23.34,20.01,23.38,1.38,546.67,8718.81,5.2,1500,5000,Niket Shah,Growth
Quant Pension Retirement Scheme - Regular Plan - IDCW,Quant Mutual Fund,Solution Oriented,Retirement,Pension,Moderate,4,7.19,14.72,17.98,0.54,273.41,2901.74,22.4,100,5000,Roshi Jain,Blend
Mahindra Manulife IT Sectoral Fund - Direct Plan - IDCW,Mahindra Manulife Mutual Fund,Equity,Sectoral,IT,High,4,38.39,33.08,33.15,0.51,235.33,1460.67,19.1,2000,500,Kalpen Parekh,Growth
Canara Robeco Discovery Small Cap Plan - Regular Plan - Growth,Canara Robeco Mutual Fund,Equity,Small Cap,Discovery,Very High,5,31.0,30.36,33.16,0.68,610.73,1175.74,16.5,1000,500,Rohit Singhania,Income
Axis Gold Fund of Funds Plan - Direct Plan - IDCW,Axis Mutual Fund,Other,Fund of Funds,Gold,Moderately High,4,10.93,8.81,13.13,0.42,750.28,561.35,9.4,1500,10000,Ajay Tyagi,Active
Quantum Equity Arbitrage Arbitrage Scheme - Regular Plan - IDCW,Quantum Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,1,5.58,4.27,2.73,0.7,44.23,1467.24,26.2,500,10000,Pranav Gokhale,Blend
Mirae Asset Nifty 50 Index Fund Plan - Regular Plan - Growth,Mirae Asset Mutual Fund,Other,Index Fund,Nifty 50,Moderately High,4,25.55,21.56,,0.4,27.47,11479.13,20.7,2000,10000,Rajeev Thakkar,GARP
Parag Parikh Pharma Sectoral Plan - Direct Plan - Growth,Parag Parikh Mutual Fund,Equity,Sectoral,Pharma,Very High,4,20.35,12.4,11.66,1.4,137.59,993.64,23.9,100,1000,Chandraprakash Padiyar,Active
HDFC Money Market Short Duration Scheme - Direct Plan - IDCW,HDFC Mutual Fund,Debt,Short Duration,Money Market,Low,1,-1.8,4.88,6.68,0.59,224.42,2908.24,12.9,500,5000,Kalpen Parekh,Growth
L&T Banking & PSU Medium Duration Fund - Direct Plan - Growth,L&T Mutual Fund,Debt,Medium Duration,Banking & PSU,Low to Moderate,3,2.98,6.59,11.43,0.59,716.13,945.05,7.3,2500,5000,Harsha Upadhyaya,Index
Sundaram IT Sectoral Scheme - Regular Plan - Growth,Sundaram Mutual Fund,Equity,Sectoral,IT,Very High,1,5.61,3.18,1.87,2.23,382.78,1833.69,23.2,2500,1000,Pranav Gokhale,Index
Nippon India Balanced Dynamic Asset Allocation Fund - Regular Plan - IDCW,Nippon India Mutual Fund,Hybrid,Dynamic Asset Allocation,Balanced,Moderate,3,17.15,15.13,11.44,0.45,737.31,2175.75,18.7,500,10000,Vetri Subramaniam,GARP
Union Equity Savings Aggressive Hybrid Fund - Direct Plan - Growth,Union Mutual Fund,Hybrid,Aggressive Hybrid,Equity Savings,Moderately High,4,8.1,14.22,,1.36,348.8,1032.53,2.4,500,5000,Sailesh Raj Bhan,Value
Franklin Templeton Gilt Long Duration Fund - Regular Plan - IDCW,Franklin Templeton Mutual Fund,Debt,Long Duration,Gilt,Moderately High,1,10.37,,3.71,0.71,17.2,128.23,2.6,2000,25000,Dhaval Gada,Value
Sundaram Consumption Sectoral Scheme - Direct Plan - IDCW,Sundaram Mutual Fund,Equity,Sectoral,Consumption,Very High,3,21.84,20.24,18.16,1.89,689.22,257.12,7.6,1500,1000,Pranav Gokhale,Passive
HSBC Domestic Fund of Funds Plan - Direct Plan - Growth,HSBC Mutual Fund,Other,Fund of Funds,Domestic,Moderate,2,5.4,,,1.14,451.24,1020.89,0.8,2500,1000,S. Nagnath,Blend
Tata Tax Saver ELSS Fund - Regular Plan - Growth,Tata Mutual Fund,Equity,ELSS,Tax Saver,Moderately High,4,12.8,19.39,17.9,0.55,70.23,244.1,17.2,1000,5000,Swarup Mohanty,Index
Kotak Mahindra Corporate Credit Risk Fund - Regular Plan - Growth,Kotak Mahindra Mutual Fund,Debt,Credit Risk,Corporate,Moderate,3,5.0,9.8,6.47,0.6,512.05,719.35,21.3,2500,1000,Sailesh Raj Bhan,Blend
ICICI Prudential ESG Thematic Plan - Regular Plan - IDCW,ICICI Prudential Mutual Fund,Equity,Thematic,ESG,High,4,23.11,30.28,30.69,1.68,697.81,4199.79,10.5,500,10000,Sankaran Naren,Growth
Mahindra Manulife Equity Arbitrage Arbitrage Plan - Regular Plan - IDCW,Mahindra Manulife Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,2,10.64,4.32,4.8,0.85,366.24,2843.41,19.5,2000,1000,Nimesh Chandan,Blend
Mirae Asset Gilt Long Duration Plan - Direct Plan - IDCW,Mirae Asset Mutual Fund,Debt,Long Duration,Gilt,Moderately High,4,1.7,8.39,3.99,0.52,134.36,678.22,29.3,1000,5000,Rahul Baijal,Blend
Axis Opportunities Mid Cap Plan - Regular Plan - Growth,Axis Mutual Fund,Equity,Mid Cap,Opportunities,High,3,19.19,14.55,16.14,1.2,447.85,2071.96,21.7,500,1000,Amit Ganatra,Index
JM Financial MNC Thematic Plan - Regular Plan - IDCW,JM Financial Mutual Fund,Equity,Thematic,MNC,High,5,39.5,31.9,33.4,0.76,546.74,745.41,26.1,500,1000,Chirag Setalvad,GARP
Canara Robeco Balanced Advantage Aggressive Hybrid Fund - Regular Plan - IDCW,Canara Robeco Mutual Fund,Hybrid,Aggressive Hybrid,Balanced Advantage,High,4,16.95,18.14,,0.92,790.22,89.76,1.7,500,5000,Ankit Agarwal,Growth
Invesco Equity Arbitrage Arbitrage Plan - Regular Plan - Growth,Invesco Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,4,5.33,6.31,8.56,0.59,699.75,846.46,8.7,1500,1000,R. Srinivasan,Passive
Motilal Oswal Gilt Long Duration Scheme - Regular Plan - IDCW,Motilal Oswal Mutual Fund,Debt,Long Duration,Gilt,Moderate,2,4.84,9.47,10.7,0.87,588.63,4127.76,4.4,1000,25000,Dhaval Gada,Active
Axis Balanced Advantage Aggressive Hybrid Fund - Regular Plan - Growth,Axis Mutual Fund,Hybrid,Aggressive Hybrid,Balanced Advantage,High,5,15.51,20.64,18.02,1.76,151.33,1055.39,7.8,1000,25000,Nimesh Chandan,Blend
Kotak Mahindra Balanced Advantage Aggressive Hybrid Plan - Regular Plan - Growth,Kotak Mahindra Mutual Fund,Hybrid,Aggressive Hybrid,Balanced Advantage,High,3,13.92,13.68,,1.23,137.51,6368.34,12.0,2500,10000,Roshi Jain,Blend
Baroda BNP Paribas Domestic Fund of Funds Scheme - Regular Plan - IDCW,Baroda BNP Paribas Mutual Fund,Other,Fund of Funds,Domestic,High,4,9.9,7.39,5.64,1.23,111.65,1022.1,7.5,1000,25000,Sailesh Raj Bhan,GARP
Franklin Templeton ESG Thematic Scheme - Regular Plan - IDCW,Franklin Templeton Mutual Fund,Equity,Thematic,ESG,Moderately High,3,9.9,9.58,7.95,1.89,349.26,2242.98,7.8,1500,5000,Roshi Jain,Growth
Baroda BNP Paribas High Yield Credit Risk Fund - Direct Plan - Growth,Baroda BNP Paribas Mutual Fund,Debt,Credit Risk,High Yield,Moderately High,3,3.91,9.24,5.92,0.54,591.23,676.92,25.4,500,25000,Jinesh Gopani,Active
SBI Balanced Advantage Aggressive Hybrid Plan - Regular Plan - Growth,SBI Mutual Fund,Hybrid,Aggressive Hybrid,Balanced Advantage,High,4,21.67,15.78,,0.56,221.64,24713.92,2.2,1500,1000,Divam Sharma,Income
Invesco Low Duration Short Duration Plan - Regular Plan - IDCW,Invesco Mutual Fund,Debt,Short Duration,Low Duration,Low to Moderate,3,0.38,,,0.47,747.63,1233.92,1.7,2500,10000,Chirag Setalvad,Blend
PGIM India Consumption Sectoral Fund - Regular Plan - IDCW,PGIM India Mutual Fund,Equity,Sectoral,Consumption,Very High,3,46.93,39.49,34.54,2.4,514.18,54.75,26.1,500,5000,Vinay Sharma,Index
Mirae Asset Money Market Short Duration Plan - Regular Plan - Growth,Mirae Asset Mutual Fund,Debt,Short Duration,Money Market,Low to Moderate,2,5.88,6.06,7.73,0.28,31.74,5780.67,6.5,2500,5000,Niket Shah,Active
Tata Corporate Bond Medium Duration Fund - Regular Plan - IDCW,Tata Mutual Fund,Debt,Medium Duration,Corporate Bond,Moderate,3,2.38,8.88,10.61,0.61,695.57,230.47,5.7,2000,5000,Mahesh Patil,Income
Parag Parikh Low Duration Short Duration Fund - Direct Plan - IDCW,Parag Parikh Mutual Fund,Debt,Short Duration,Low Duration,Low,2,14.46,7.35,,0.5,497.34,1482.74,1.4,100,25000,Gopal Agrawal,Income
Axis Gift Children's Fund Plan - Direct Plan - IDCW,Axis Mutual Fund,Solution Oriented,Children's Fund,Gift,Moderate,4,17.4,14.58,11.74,1.12,319.94,5302.75,19.7,2500,1000,Kalpen Parekh,GARP
Edelweiss Micro Cap Small Cap Fund - Regular Plan - Growth,Edelweiss Mutual Fund,Equity,Small Cap,Micro Cap,High,4,39.3,31.31,26.79,2.16,330.27,1775.85,17.2,5000,5000,Jinesh Gopani,Growth
Mahindra Manulife Equity Savings Aggressive Hybrid Plan - Regular Plan - IDCW,Mahindra Manulife Mutual Fund,Hybrid,Aggressive Hybrid,Equity Savings,Moderately High,3,18.65,20.18,18.45,1.33,647.81,2064.99,23.0,1000,500,Varun Goel,Value
Bank of India Equity Arbitrage Arbitrage Fund - Regular Plan - IDCW,Bank of India Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,3,10.83,5.74,1.94,0.64,12.56,211.79,12.2,1000,5000,Ankit Agarwal,Passive
Baroda BNP Paribas Low Duration Short Duration Plan - Regular Plan - Growth,Baroda BNP Paribas Mutual Fund,Debt,Short Duration,Low Duration,Low to Moderate,1,4.73,,2.93,0.42,188.0,126.46,2.7,5000,5000,Roshi Jain,Active
Axis 10Y Gilt Long Duration Plan - Regular Plan - Growth,Axis Mutual Fund,Debt,Long Duration,10Y Gilt,Moderate,4,9.92,8.01,,0.64,691.76,25.81,1.3,2000,5000,Neelesh Surana,Growth
Mirae Asset Flexi Cap Multi Cap Scheme - Direct Plan - Growth,Mirae Asset Mutual Fund,Equity,Multi Cap,Flexi Cap,High,3,14.74,16.36,17.16,1.25,489.46,34078.22,23.1,5000,500,Sailesh Raj Bhan,Passive
Tata Equity Savings Aggressive Hybrid Plan - Direct Plan - Growth,Tata Mutual Fund,Hybrid,Aggressive Hybrid,Equity Savings,High,4,25.06,17.77,12.95,0.67,13.99,3423.41,7.7,2500,5000,Swarup Mohanty,Index
Kotak Mahindra Senior Citizen Retirement Fund - Direct Plan - IDCW,Kotak Mahindra Mutual Fund,Solution Oriented,Retirement,Senior Citizen,Moderately High,4,13.55,6.6,5.12,0.51,392.81,1672.02,8.1,1500,25000,Ashish Kela,Income
ICICI Prudential Tax Advantage ELSS Fund - Regular Plan - IDCW,ICICI Prudential Mutual Fund,Equity,ELSS,Tax Advantage,Moderately High,3,19.61,14.76,15.15,0.97,491.38,248.53,12.7,2500,25000,Vetri Subramaniam,Blend
Nippon India Focused Large Cap Fund - Regular Plan - IDCW,Nippon India Mutual Fund,Equity,Large Cap,Focused,Moderate,4,14.52,11.62,8.43,1.09,569.56,4496.96,3.7,2500,10000,Varun Goel,GARP
Invesco High Yield Credit Risk Scheme - Direct Plan - Growth,Invesco Mutual Fund,Debt,Credit Risk,High Yield,Moderately High,2,13.95,6.54,6.38,1.31,443.78,1323.24,28.6,100,10000,Ashish Kela,Growth
Franklin Templeton Ultra Short Liquid Fund - Direct Plan - IDCW,Franklin Templeton Mutual Fund,Debt,Liquid,Ultra Short,Low,2,12.43,6.28,3.56,0.18,491.9,575.88,12.6,500,10000,Harsha Upadhyaya,Active
L&T Balanced Dynamic Asset Allocation Fund - Direct Plan - IDCW,L&T Mutual Fund,Hybrid,Dynamic Asset Allocation,Balanced,Moderately High,3,14.45,16.8,14.17,1.49,225.65,704.56,20.2,500,25000,Taher Badshah,Passive
Baroda BNP Paribas Tax Saver ELSS Scheme - Regular Plan - Growth,Baroda BNP Paribas Mutual Fund,Equity,ELSS,Tax Saver,Moderately High,5,20.95,21.72,22.59,0.75,591.6,7126.77,26.0,100,5000,Atul Kumar,Active
Franklin Templeton Opportunities Mid Cap Scheme - Direct Plan - Growth,Franklin Templeton Mutual Fund,Equity,Mid Cap,Opportunities,High,3,4.77,12.39,13.81,1.37,440.98,475.21,18.0,500,1000,Rahul Baijal,Active
Axis Low Duration Short Duration Plan - Regular Plan - Growth,Axis Mutual Fund,Debt,Short Duration,Low Duration,Low to Moderate,2,2.13,7.95,,0.44,347.13,140.51,21.7,5000,500,Sankaran Naren,Growth
Quant High Yield Credit Risk Scheme - Regular Plan - Growth,Quant Mutual Fund,Debt,Credit Risk,High Yield,Moderate,2,5.0,10.95,6.99,1.22,466.08,620.99,3.0,2500,5000,Jinesh Gopani,Passive
PGIM India Education Children's Fund Scheme - Regular Plan - IDCW,PGIM India Mutual Fund,Solution Oriented,Children's Fund,Education,Moderate,2,6.28,9.11,6.38,0.79,62.98,808.05,15.8,1500,5000,Pranav Gokhale,Blend
Edelweiss Index Large Cap Fund - Regular Plan - Growth,Edelweiss Mutual Fund,Equity,Large Cap,Index,Moderately High,3,19.75,24.01,24.41,1.62,523.49,55.11,10.3,1500,10000,Taher Badshah,Active
Bank of India Money Market Short Duration Scheme - Direct Plan - IDCW,Bank of India Mutual Fund,Debt,Short Duration,Money Market,Low to Moderate,3,10.57,7.98,8.56,0.64,376.44,1921.93,2.3,100,25000,Rahul Baijal,Active
Nippon India Money Market Short Duration Fund - Regular Plan - IDCW,Nippon India Mutual Fund,Debt,Short Duration,Money Market,Low,2,2.63,7.83,9.73,0.32,432.38,928.12,22.8,2000,5000,Roshi Jain,Income
Parag Parikh Energy Sectoral Plan - Regular Plan - Growth,Parag Parikh Mutual Fund,Equity,Sectoral,Energy,High,4,32.0,27.27,31.54,0.97,324.26,282.63,5.0,500,25000,Sankaran Naren,Income
Baroda BNP Paribas Sensex Index Fund Scheme - Regular Plan - IDCW,Baroda BNP Paribas Mutual Fund,Other,Index Fund,Sensex,Moderately High,4,21.62,20.98,24.4,0.31,501.88,1462.75,4.3,500,5000,Vetri Subramaniam,Income
Invesco Equity Arbitrage Arbitrage Plan - Direct Plan - IDCW,Invesco Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,3,10.47,7.13,2.49,0.44,216.39,689.75,11.1,1000,5000,S. Nagnath,GARP
Quantum Dividend Yield Thematic Scheme - Direct Plan - Growth,Quantum Mutual Fund,Equity,Thematic,Dividend Yield,High,3,31.16,30.3,28.36,1.11,362.18,1964.25,27.6,1000,10000,Shreyash Devalkar,Income
Tata Banking & PSU Medium Duration Plan - Regular Plan - IDCW,Tata Mutual Fund,Debt,Medium Duration,Banking & PSU,Low to Moderate,3,14.59,8.97,6.06,0.95,100.16,46142.94,24.6,1000,5000,Rahul Baijal,Income
Baroda BNP Paribas Value Thematic Fund - Direct Plan - Growth,Baroda BNP Paribas Mutual Fund,Equity,Thematic,Value,High,3,34.6,28.71,31.77,1.82,249.31,843.5,5.6,500,5000,Varun Goel,GARP
Quant Overnight Liquid Fund - Direct Plan - IDCW,Quant Mutual Fund,Debt,Liquid,Overnight,Low,1,11.99,4.38,5.79,0.43,112.96,352.97,25.9,500,5000,R. Srinivasan,Blend
Parag Parikh Education Children's Fund Fund - Direct Plan - IDCW,Parag Parikh Mutual Fund,Solution Oriented,Children's Fund,Education,Moderately High,4,14.06,12.36,15.01,0.59,406.03,221.92,11.3,100,500,Niket Shah,Active
SBI Tax Advantage ELSS Fund - Direct Plan - IDCW,SBI Mutual Fund,Equity,ELSS,Tax Advantage,High,4,2.73,8.57,13.2,1.32,772.93,693.79,13.3,500,1000,Ankit Agarwal,Blend
DSP Dividend Yield Thematic Scheme - Direct Plan - IDCW,DSP Mutual Fund,Equity,Thematic,Dividend Yield,Moderately High,4,17.7,18.67,14.73,1.55,179.1,10895.73,5.0,1000,10000,Nimesh Chandan,Income
Edelweiss Banking Sectoral Fund - Direct Plan - Growth,Edelweiss Mutual Fund,Equity,Sectoral,Banking,High,4,31.03,31.67,27.25,2.49,53.76,6823.6,21.0,1500,10000,Sankaran Naren,GARP
Bank of India Nifty 100 Index Fund Fund - Direct Plan - IDCW,Bank of India Mutual Fund,Other,Index Fund,Nifty 100,Moderately High,4,5.63,11.35,7.56,0.22,88.03,612.61,15.5,5000,1000,Chandraprakash Padiyar,Growth
Quantum International Fund of Funds Fund - Regular Plan - Growth,Quantum Mutual Fund,Other,Fund of Funds,International,High,4,18.68,16.84,14.9,1.05,425.42,1416.05,13.1,1000,25000,Harsha Upadhyaya,Growth
Kotak Mahindra Discovery Mid Cap Scheme - Regular Plan - IDCW,Kotak Mahindra Mutual Fund,Equity,Mid Cap,Discovery,Moderately High,5,31.37,32.17,29.12,0.99,335.99,2470.55,23.2,1000,1000,Nimesh Chandan,Active
Mahindra Manulife MNC Thematic Plan - Regular Plan - IDCW,Mahindra Manulife Mutual Fund,Equity,Thematic,MNC,High,4,,16.24,11.43,0.87,610.15,3424.58,4.5,100,1000,Mahesh Patil,Value
Mahindra Manulife Ultra Short Liquid Plan - Direct Plan - IDCW,Mahindra Manulife Mutual Fund,Debt,Liquid,Ultra Short,Low,2,-3.95,3.86,1.27,0.49,642.82,1071.74,3.7,500,5000,Divam Sharma,Active
Mahindra Manulife Ultra Short Liquid Scheme - Regular Plan - IDCW,Mahindra Manulife Mutual Fund,Debt,Liquid,Ultra Short,Low,1,10.33,4.82,0.8,0.3,126.84,2614.79,10.1,500,5000,Gopal Agrawal,Blend
ICICI Prudential Multi Asset Dynamic Asset Allocation Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund,Hybrid,Dynamic Asset Allocation,Multi Asset,Moderately High,3,9.72,11.71,10.65,1.04,629.73,401.98,20.8,2000,5000,R. Srinivasan,Value
Invesco Flexi Cap Multi Cap Scheme - Direct Plan - IDCW,Invesco Mutual Fund,Equity,Multi Cap,Flexi Cap,High,3,19.05,13.6,8.98,1.84,373.49,5217.94,19.3,1500,1000,Dhaval Gada,Passive
Tata Gilt Long Duration Scheme - Direct Plan - IDCW,Tata Mutual Fund,Debt,Long Duration,Gilt,Moderately High,4,11.56,9.37,10.51,0.36,418.58,2186.28,15.6,500,25000,Sohini Andani,Income
DSP Low Duration Short Duration Plan - Regular Plan - IDCW,DSP Mutual Fund,Debt,Short Duration,Low Duration,Low to Moderate,1,-2.47,4.17,6.33,0.24,64.44,396.8,0.9,2000,1000,Sailesh Raj Bhan,Active
Franklin Templeton International Fund of Funds Plan - Direct Plan - IDCW,Franklin Templeton Mutual Fund,Other,Fund of Funds,International,Moderate,4,13.19,15.54,13.51,0.72,621.53,228.07,5.6,2000,5000,Vinay Sharma,Blend
Canara Robeco Discovery Small Cap Plan - Regular Plan - Growth,Canara Robeco Mutual Fund,Equity,Small Cap,Discovery,Very High,5,35.64,31.41,29.06,0.54,73.08,2452.78,29.1,1000,10000,Roshi Jain,Blend
Aditya Birla Sun Life Flexi Cap Multi Cap Plan - Regular Plan - IDCW,Aditya Birla Sun Life Mutual Fund,Equity,Multi Cap,Flexi Cap,Moderately High,5,26.91,24.92,23.74,0.73,104.14,8040.86,19.5,1000,10000,Nimesh Chandan,Income
Axis Dynamic Bond Long Duration Scheme - Direct Plan - IDCW,Axis Mutual Fund,Debt,Long Duration,Dynamic Bond,Moderate,3,11.75,4.25,7.24,0.56,784.14,2525.88,18.3,2500,500,Anish Tawakley,GARP
JM Financial Corporate Bond Medium Duration Scheme - Regular Plan - IDCW,JM Financial Mutual Fund,Debt,Medium Duration,Corporate Bond,Moderate,2,12.98,7.99,9.55,0.39,275.91,228.79,13.5,500,5000,Sohini Andani,Blend
Parag Parikh Ultra Short Liquid Scheme - Direct Plan - IDCW,Parag Parikh Mutual Fund,Debt,Liquid,Ultra Short,Low,4,2.62,6.77,2.99,0.18,710.44,57.42,19.6,2500,25000,Niket Shah,Active
Parag Parikh Energy Sectoral Scheme - Regular Plan - IDCW,Parag Parikh Mutual Fund,Equity,Sectoral,Energy,High,3,38.79,33.01,36.48,2.34,207.77,755.19,25.3,500,5000,Mahesh Patil,Growth
SBI Equity Arbitrage Arbitrage Plan - Regular Plan - IDCW,SBI Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,3,9.61,7.11,3.88,0.64,787.86,12222.31,28.2,500,25000,Manish Gunwani,Income
Motilal Oswal Dynamic Multi Cap Plan - Direct Plan - Growth,Motilal Oswal Mutual Fund,Equity,Multi Cap,Dynamic,Moderate,3,5.74,11.63,13.89,1.71,177.1,7026.36,22.1,1000,500,Ankit Agarwal,Index
Tata Money Market Short Duration Fund - Regular Plan - IDCW,Tata Mutual Fund,Debt,Short Duration,Money Market,Low to Moderate,3,6.49,6.36,4.34,0.54,553.6,1132.19,26.3,500,25000,Roshi Jain,GARP
Tata Corporate Bond Medium Duration Scheme - Direct Plan - Growth,Tata Mutual Fund,Debt,Medium Duration,Corporate Bond,Low to Moderate,3,2.6,8.04,7.66,0.31,203.37,801.48,24.1,100,5000,Sankaran Naren,Blend
